"FullName","LineCount"
"G:\lagoaformosanomomento\src\components\layout\header\ExtraMenu.tsx","127"
"G:\lagoaformosanomomento\src\components\layout\header\DataBar.tsx","125"
"G:\lagoaformosanomomento\src\components\admin\users\panels\subscription\CreditItemControl.tsx","125"
"G:\lagoaformosanomomento\src\components\admin\users\panels\pos\POSModals.tsx","124"
"G:\lagoaformosanomomento\src\components\admin\jobs\JobListTable.tsx","124"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\inspector\InspectorTextBlock.tsx","123"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\panels\OverviewPanel.tsx","123"
"G:\lagoaformosanomomento\src\components\home\popup\PromoPopupHost.tsx","122"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\article\CommentsSection.tsx","120"
"G:\lagoaformosanomomento\src\components\common\ConfirmationModal.tsx","118"
"G:\lagoaformosanomomento\src\components\admin\advertisers\AdvertisersManager.tsx","118"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\article\renderers\RenderDivider.tsx","118"
"G:\lagoaformosanomomento\src\components\home\popup\slide\SlideMediaLayer.tsx","116"
"G:\lagoaformosanomomento\src\components\news\gallery\GalleryLightbox.tsx","115"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\inspector\panels\CurrentTextPanel.tsx","115"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\render\renderers\quoteAspas.tsx","114"
"G:\lagoaformosanomomento\src\components\common\ErrorAlertModal.tsx","114"
"G:\lagoaformosanomomento\src\app\not-found.tsx","113"
"G:\lagoaformosanomomento\src\app\global-error.tsx","113"
"G:\lagoaformosanomomento\src\components\admin\users\panels\UserStatsPanel.tsx","112"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\media\EffectsPanel.tsx","111"
"G:\lagoaformosanomomento\src\components\common\my-account\SidebarNav.tsx","109"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\plans\PlanForm.tsx","108"
"G:\lagoaformosanomomento\src\components\admin\advertisers\list\AdvertisersListView.tsx","108"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\banners\BannerTextTab.tsx","107"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\ConfigTabs.tsx","105"
"G:\lagoaformosanomomento\src\components\common\ConfirmModal.tsx","105"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\text-block-components\TextBlockStyles.tsx","105"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\PollQuizEditors.tsx","104"
"G:\lagoaformosanomomento\src\components\common\AccessDeniedModal.tsx","104"
"G:\lagoaformosanomomento\src\components\media\MediaUploader.tsx","103"
"G:\lagoaformosanomomento\src\components\common\SuccessModal.tsx","102"
"G:\lagoaformosanomomento\src\components\admin\users\panels\subscription\ActivePlansSection.tsx","102"
"G:\lagoaformosanomomento\src\components\common\ActivityToastHost.tsx","101"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\plans\PlanFeaturesForm.tsx","100"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\article\renderers\RenderVideo.tsx","100"
"G:\lagoaformosanomomento\src\components\home\popup\slide\SlideContentLayer.tsx","98"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\article\renderers\RenderHeading.tsx","97"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\article\renderers\RenderList.tsx","97"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\article\renderers\RenderParagraph.tsx","97"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\placements\PlacementsEditor.tsx","97"
"G:\lagoaformosanomomento\src\components\common\LoadingScreen.tsx","97"
"G:\lagoaformosanomomento\src\components\admin\inspector\BlockSpecificControls.tsx","95"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\article\renderers\RenderQuote.tsx","95"
"G:\lagoaformosanomomento\src\components\admin\news\NewsFilterHeader.tsx","94"
"G:\lagoaformosanomomento\src\components\common\FaviconAnimator.tsx","93"
"G:\lagoaformosanomomento\src\components\admin\settings\FooterSettings.tsx","93"
"G:\lagoaformosanomomento\src\components\common\PermissionModal.tsx","92"
"G:\lagoaformosanomomento\src\components\admin\editor\layout\EditorHeader.tsx","92"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\SmartBlockRenderer.tsx","88"
"G:\lagoaformosanomomento\src\components\admin\advertisers\list\AdvertisersListToolbar.tsx","87"
"G:\lagoaformosanomomento\src\components\home\PromoPopup.tsx","87"
"G:\lagoaformosanomomento\src\components\role-wizard\StepAddress.tsx","87"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\QuickUploader.tsx","87"
"G:\lagoaformosanomomento\src\components\home\world\VerticalNewsColumn.tsx","86"
"G:\lagoaformosanomomento\src\components\admin\editor\EditorHeader.tsx","86"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\placements\PlacementCard.tsx","79"
"G:\lagoaformosanomomento\src\components\admin\editor\gallery\GalleryGridControls.tsx","79"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\render\renderers\currentText.tsx","78"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\upcoming\UpcomingModulesPanel.tsx","77"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\components\MediaSourceSection.tsx","77"
"G:\lagoaformosanomomento\src\components\common\SecureImage.tsx","76"
"G:\lagoaformosanomomento\src\components\admin\users\panels\subscription\LinkedAdsSection.tsx","76"
"G:\lagoaformosanomomento\src\components\admin\users\panels\UserPostsPanel.tsx","76"
"G:\lagoaformosanomomento\src\components\common\my-account\billing\AdvertiserList.tsx","74"
"G:\lagoaformosanomomento\src\components\admin\editor\layout\EditorMobileDock.tsx","74"
"G:\lagoaformosanomomento\src\components\blocks\engagement\RankingWidget.tsx","74"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\tools\FontSizeControls.tsx","74"
"G:\lagoaformosanomomento\src\components\admin\users\panels\UserFinancialPanel.tsx","74"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\ComparisonEditor.tsx","73"
"G:\lagoaformosanomomento\src\components\role-wizard\StepSecurity.tsx","71"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\SalesSection.tsx","70"
"G:\lagoaformosanomomento\src\components\admin\editor\EditorMeta.tsx","69"
"G:\lagoaformosanomomento\src\components\common\SessionExpiredModal.tsx","69"
"G:\lagoaformosanomomento\src\components\common\NetworkStatusBanner.tsx","69"
"G:\lagoaformosanomomento\src\components\common\my-account\billing\PlanList.tsx","69"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\banners\WysiwygField.tsx","69"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\components\MediaBlockOverlays.tsx","68"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\layout\RightToolsRail.tsx","68"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\TimelineEditor.tsx","67"
"G:\lagoaformosanomomento\src\components\blocks\engagement\ComparisonWidget.tsx","67"
"G:\lagoaformosanomomento\src\components\home\WorldNewsGrid.tsx","67"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\banner-components\GalleryConfirmationModal.tsx","66"
"G:\lagoaformosanomomento\src\hooks\useFormValidation.tsx","66"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\PopupMediaPanel.tsx","65"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\rules\BenefitList.tsx","65"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\article\AdvertisersFooter.tsx","65"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\layout\LeftAdsRail.tsx","64"
"G:\lagoaformosanomomento\src\components\common\my-account\ProfileTab.tsx","63"
"G:\lagoaformosanomomento\src\components\admin\users\panels\pos\MarketShelf.tsx","63"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\render\renderTextMode.tsx","63"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\showcase\InternalPageForm.tsx","62"
"G:\lagoaformosanomomento\src\components\common\my-account\ProfessionalTab.tsx","62"
"G:\lagoaformosanomomento\src\components\common\DebugOverlay.tsx","62"
"G:\lagoaformosanomomento\src\components\blocks\engagement\PollWidget.tsx","61"
"G:\lagoaformosanomomento\src\components\news\Pagination\NewsPagination.tsx","61"
"G:\lagoaformosanomomento\src\components\admin\users\panels\subscription\UtilizedItemsSection.tsx","60"
"G:\lagoaformosanomomento\src\components\blocks\engagement\CountdownWidget.tsx","60"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\showcase\MediaControls.tsx","60"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\media-block-components\YouTubeWizardModal.tsx","60"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\components\MediaTypeSelector.tsx","59"
"G:\lagoaformosanomomento\src\components\home\BreakingNewsBar.tsx","59"
"G:\lagoaformosanomomento\src\components\role-wizard\layout\WizardSidebar.tsx","59"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\AccordionEditor.tsx","59"
"G:\lagoaformosanomomento\src\components\common\LazyBlock.tsx","59"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\rules\RulesBenefitsPanel.tsx","57"
"G:\lagoaformosanomomento\src\components\role-wizard\StepPersonal.tsx","56"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\tools\SavePostButton.tsx","55"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\plans\PlanPricesTable.tsx","55"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\showcase\DisplayLocationsConfig.tsx","54"
"G:\lagoaformosanomomento\src\app\layout.tsx","54"
"G:\lagoaformosanomomento\src\components\common\my-account\BillingTab.tsx","54"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\EditorTabs.tsx","53"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\CountdownEditor.tsx","52"
"G:\lagoaformosanomomento\src\components\blocks\engagement\FlipCardWidget.tsx","52"
"G:\lagoaformosanomomento\src\components\blocks\engagement\QuizWidget.tsx","52"
"G:\lagoaformosanomomento\src\components\admin\editor\media\VideoSourcePicker.tsx","52"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\TableBlock.tsx","51"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\upcoming\UpcomingModuleCard.tsx","50"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\SliderEditor.tsx","50"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\TestimonialEditor.tsx","50"
"G:\lagoaformosanomomento\src\components\admin\users\UserFilterBar.tsx","50"
"G:\lagoaformosanomomento\src\components\blocks\engagement\ThermometerWidget.tsx","50"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\banner-components\RemovalWarningModal.tsx","49"
"G:\lagoaformosanomomento\src\components\admin\advertisers\list\EmptyState.tsx","48"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\shared\SaveBar.tsx","46"
"G:\lagoaformosanomomento\src\components\admin\users\UserFilters.tsx","46"
"G:\lagoaformosanomomento\src\app\loading.tsx","46"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\RankingEditor.tsx","44"
"G:\lagoaformosanomomento\src\components\admin\users\panels\UserAuditPanel.tsx","44"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\FlipCardEditor.tsx","44"
"G:\lagoaformosanomomento\src\components\admin\editor\gallery\GalleryPreview.tsx","44"
"G:\lagoaformosanomomento\src\components\role-wizard\StepSpecifics.tsx","44"
"G:\lagoaformosanomomento\src\components\home\HeroSection.tsx","44"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\components\LayoutSelector.tsx","44"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\panels\PromoPopupPanel.tsx","44"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\CounterEditor.tsx","44"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\AdvertiserPopupSection.tsx","43"
"G:\lagoaformosanomomento\src\components\common\Toast.tsx","43"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\PlansConfigView.tsx","43"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popup\PopupPreview.tsx","42"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\CTAEditor.tsx","42"
"G:\lagoaformosanomomento\src\components\admin\jobs\JobFilterBar.tsx","41"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\tools\ShareBar.tsx","40"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\showcase\ImageSequenceUploader.tsx","40"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\ThermometerEditor.tsx","39"
"G:\lagoaformosanomomento\src\components\admin\AdvertisersTab.tsx","38"
